Name,Tag,Image URL,Origin,Length,Color,Stem Price,Quantity,First Quantity
Anthurium mix in box,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x0E31AB487433CE26DD43AEC54C64CEE0398E84E7.jpg",,,,,,
Anthurium nunzia,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x0D2A0B2E123C5C0988ADFAF8E16C8A0C9696DEBD.jpg",NL,15 cm,Salmon,"€ 1,01",690,3x10
Anthurium nunzia,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x0D2A0B2E123C5C0988ADFAF8E16C8A0C9696DEBD.jpg",,,,,,
Anthurium nunzia,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x0D2A0B2E123C5C0988ADFAF8E16C8A0C9696DEBD.jpg",,,,,,
Anthurium pistache,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x9D3D1CE603D80943CD9CDF51D0915277F62ECD68.jpg",NL,50 cm,Green,"€ 1,09",690,9x10
Anthurium pistache,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x9D3D1CE603D80943CD9CDF51D0915277F62ECD68.jpg",,,,,,
Anthurium pistache,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x9D3D1CE603D80943CD9CDF51D0915277F62ECD68.jpg",,,,,,
Anthurium pistache,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x263BCC1AF599270ABD7D94C5A451E0C6360C8D45.jpg",NL,45 cm,Green,"€ 1,09",690,7x10
Anthurium pistache,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x263BCC1AF599270ABD7D94C5A451E0C6360C8D45.jpg",,,,,,
Anthurium pistache,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x263BCC1AF599270ABD7D94C5A451E0C6360C8D45.jpg",,,,,,
Anthurium pistache B1,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x904098CA24FD5BD59A50ADB95CA421D6E1201474.jpg",NL,50 cm,Green,"€ 0,57",690,2x12
Anthurium pistache B1,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x904098CA24FD5BD59A50ADB95CA421D6E1201474.jpg",,,,,,
Anthurium pistache B1,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x904098CA24FD5BD59A50ADB95CA421D6E1201474.jpg",,,,,,
Anthurium rambla,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x1C7724DA3639EFAD4DD641F9D7346A21A9CCA679.jpg",NL,80 cm,Red,"€ 0,67",690,19x10
Anthurium rambla,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x1C7724DA3639EFAD4DD641F9D7346A21A9CCA679.jpg",,,,,,
Anthurium rambla,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x1C7724DA3639EFAD4DD641F9D7346A21A9CCA679.jpg",,,,,,
Anthurium rambla,,"https://res.cloudinary.com/dcutrnbeo/image/fetch/f_auto,q_auto,w_auto,h_184/https%3A%2F%2Fimg.ozexport.nl%2Fartikelfotos%2FLIVE_fotos%2F0x2E1CFEAC8A589CAB325BE8C7DF4B1674A37DF3EB.jpg",NL,13 cm,Red,"€ 0,62",690,25x12
